species,genus,family,stomatal density,Stomatal length/size,plant functional group/1-tree/2-shrub/3-herb
Leycesteria_formosa,Leycesteria,Caprifoliaceae,368.0770554,22.64162,2
Aucuba_chlorascens,Aucuba,Garryaceae,137.5988992,29.99266586,2
Arisaema_erubescens,Arisaema,Araceae,127.2789818,27.82333586,3
Carex_fastigiata,Carex,Cyperaceae,223.5982112,36.98742033,3
Celastrus_glaucophyllus,Celastrus,Celastraceae,309.5975232,26.24693467,3
Gaultheria_fragrantissima,Gaultheria,Ericaceae,405.9167527,24.116697,2
Salix_inamoena,Salix,Salicaceae,537.1861025,9.927186538,2
Ilex_manneiensis,Ilex,Aquifoliaceae,395.5968352,23.26942633,2
Schefflera_fengii,Schefflera,Araliaceae,550.3955968,12.48114143,2
Pilea_sinofasciata,Pilea,Urticaceae,85.99931201,20.01127455,3
Sabia_yunnanensis,Sabia,Sabiaceae,79.11936705,24.02358765,3
Plagiogyria_pycnophylla,Plagiogyria,Scrophulariaceae,264.877881,26.67657793,3
Viscum_diospyrosicola,Viscum,Moraceae,347.4372205,27.25915889,2
Primula_sinuata,Primula,Primulaceae,NA,NA,3
Henckelia_grandifolia,Henckelia,Gesneriaceae,NA,NA,3
Elatostema_dissectum,Elatostema,Urticaceae,44.71964224,17.44582667,3
Berberis_wuliangshanensis,Berberis,Berberidaceae,361.1971104,16.323359,2
Rubus_kawakamii,Rubus,Rosaceae,297.5576195,16.87817167,2
Aralia_gigantea,Aralia,Araliaceae,261.4379085,26.65810267,1
Gamblea_ciliata,Gamblea,Araliaceae,213.2782938,18.57148933,2
Sarcopyramis_bodinieri,Sarcopyramis,Melastomataceae,110.0791194,28.1334115,3
Carex_teinogyna,Carex,Cyperaceae,230.4781562,29.79994233,3
Polygonum_molle,Polygonum,Polygonaceae,214.6542828,21.9822775,2
Machilus_salicina,Machilus,Lauraceae,519.4358445,18.87965033,2
Machilus_gamblei,Machilus,Lauraceae,178.878569,19.93210034,1
NA,NA,NA,144.4788442,22.61793621,2
Elatostema_obtusum,Elatostema,Urticaceae,99.07120743,30.6222975,3
Impatiens_radiata,Impatiens,Balsaminaceae,237.3581011,20.615662,3
Lepisorus_bicolor,Lepisorus,Polypodiaceae,96.31922945,29.86835125,3
Streptolirion_volubile,Streptolirion,Commelinaceae,99.75920193,56.46479043,3
Asparagus_filicinus,Asparagus,Asparagaceae,313.0374957,24.61044936,3
Schisandra_sphenanthera,Schisandra,Schisandraceae,141.0388717,56.30089962,3
Stenoseris_graciliflora,Stenoseris,Asterales,282.0777434,30.02861567,3
Polygonum_strindbergii,Polygonum,Polygonaceae,199.5184039,21.013408,3
Gentiana_crassa,Gentiana,Gentianaceae,168.5586515,34.746274,3
Leptorumohra_quadripinnata,Leptorumohra,Dryopteridaceae,189.1984864,24.84834667,3
NA,NA,NA,216.7182663,35.88635179,3
Anaphalis_sinica,Anaphalis,Asterales,189.1984864,24.83837444,3
Aucuba_himalaica,Aucuba,Garryaceae,123.8390093,36.4374565,2
Buddleja_macrostachya,Buddleja,Scrophulariaceae,385.2769178,31.702505,2
Ixeridium_gracile,Ixeridium,Asterales,49.53560372,23.55921417,3
Ainsliaea_angustifolia,Ainsliaea,Asterales,113.5190918,18.49745789,3
Aeschynanthu_buxifolius,Aeschynanthu,Gesneriaceae,147.9188166,27.98469552,2
Parthenocissus_semicordata,Parthenocissus,Vitaceae,141.0388717,30.93447231,3
Carpesium_lipskyi,Carpesium,Asterales,271.7578259,27.581664,3
Dichrocephala_chrysanthemifolia,Dichrocephala,Asterales,106.6391469,31.0013875,3
Asplenium_ensiforme,Asplenium,Aspleniaceae,175.4385965,43.65948423,3
Actinidia_glaucocallosa,Actinidia,Actinidiaceae,264.877881,18.17865517,3
Viola_pilosa,Viola,Violaceae,85.99931201,30.236674,3
Arisaema_franchetianum,Arisaema,Araceae,147.9188166,24.18950286,3
Lycianthes_lysimachioides,Lycianthes,Solanaceae,454.0763674,22.26169167,3
Strobilanthes_helicta,Strobilanthes,Acanthaceae,130.7189542,35.79033741,3
Tiarella_polyphylla,Tiarella,Saxifragaceae,185.7585139,19.23034536,3
Ophiopogon_japonicus,Ophiopogon,Asparagaceae,278.6377709,31.51315533,3
Circaea_alpina,Circaea,Onagraceae,223.5982112,28.06151143,3
Polypodiodes_amoena,Polypodiodes,Polypodiaceae,130.7189542,42.89910792,3
Oxalis_griffithii,Oxalis,Oxalidaceae,147.9188166,22.34486667,3
Fragaria_nilgerrensis,Fragaria,Rosaceae,309.5975232,20.65342,3
Smilax_ferox,Smilax,Smilacaceae,79.11936705,22.48176944,3
Clematis_ranunculoides,Clematis,Ranunculaceae,130.7189542,34.01015519,3
Impatiens_rubrostriata,Impatiens,Balsaminaceae,213.2782938,17.82087167,3
Polygonatum_kingianum,Polygonatum,Asparagaceae,82.55933953,28.25193947,2
Brassaiopsis_ciliata,Brassaiopsis,Araliaceae,116.9590643,19.45283615,2
Laurocerasus_undulata,Laurocerasus,Rosaceae,354.3171655,15.138158,2
Ilex_gintungensis,Ilex,Aquifoliaceae,227.0381837,20.72415133,3
Artemisia_tangutica,Artemisia,Asterales,103.1991744,24.46185583,3
Viburnum_foetidum,Viburnum,Adoxaceae,99.75920193,15.67559217,2
Cleidion_brevipetiolatum,Cleidion,Euphorbiaceae,278.6377709,19.203497,1
Ficus_squamosa,Ficus,Moraceae,175.4385965,16.19817348,2
Duabanga_grandiflora,Duabanga,Lythraceae,61.91950464,44.88795357,1
Claoxylon_indicum,Claoxylon,Euphorbiaceae,701.754386,19.540766,1
Casearia_kurzii,Casearia,Salicaceae,350.877193,24.48216966,1
Casearia_kurzii,Casearia,Salicaceae,601.995184,25.15042567,1
Castanopsis_indica,Castanopsis,Fagaceae,416.2366701,25.71001267,1
